name,ann_oos,vol_oos,sharpe_oos,sortino_oos,mdd_oos,calmar_oos,sharpe_full,mdd_full,gross_avg,gross_max,days_over_1x
"BASELINE (top11/ac55/mom63/gf95, cap10)",0.19865867248983715,0.0830244210855805,2.2247448707940918,3.411373511717048,-0.06555994035484915,3.0301838502991156,1.6837010486254114,-0.09091390701744267,0.823265468911744,1.0000000000000002,0
top10,0.19610864290251806,0.08192717531537523,2.2274361294964833,3.2804085654456197,-0.05324264225885977,3.683300350667418,1.6633026053000757,-0.09073143341759216,0.7911507481196222,1.0,0
top10 + ac0.45,0.1959898619162701,0.08097825698664463,2.2513542093596364,3.3353897265901415,-0.05239304061574882,3.740761360915509,1.6856461926255495,-0.09009462988710233,0.7839479119373832,1.0,0
top10 + ac0.50,0.19642723524338246,0.08173992677899855,2.235611811239011,3.2924527997456052,-0.05324264225886003,3.6892841322257124,1.673446099544735,-0.09055483317839061,0.789774267815827,1.0,0
top10 + ac0.45 + gf0.90,0.19382734819498504,0.07984586288215052,2.259462871280391,3.343850148976838,-0.052302336566637374,3.705902277387425,1.687471653313092,-0.08908588111769739,0.7694324883738064,1.0,0
top10 + ac0.50 + gf0.90,0.1945459045005995,0.08077415087419679,2.241875760345257,3.295647135860872,-0.053191633354910194,3.6574531036212425,1.6768818271766215,-0.08911492785515716,0.7762045645851945,1.0,0
top10 + ac0.45 + mom84,0.19680757507794322,0.08109609518509169,2.256632118791169,3.364455550670651,-0.052047641495989734,3.781296700890995,1.6874658389008572,-0.0903254813135109,0.7837910750681253,1.0,0
top10 + ac0.50 + mom84,0.1976138452950047,0.08186494802991613,2.244437742750117,3.324895552991037,-0.05237276748482268,3.7732175476935033,1.6746004132739498,-0.09070741367695671,0.789575013097288,1.0,0
top10 + ac0.45 + tvol0.12,0.19321613125310755,0.0801835934044082,2.2438917832843863,3.3229541494895525,-0.05031426637309581,3.840185799795834,1.6781202533284376,-0.08944041874538544,0.7747417396378943,1.0,0
top10 + ac0.50 + tvol0.12,0.1937546872161413,0.08064508983970867,2.2371118408381485,3.299097117148952,-0.050713288122181975,3.8205901133709586,1.6691791000995728,-0.08978626175345396,0.7788134766930737,1.0,0
top10 + ac0.45 + mb0.6-1.4,0.1943246363451956,0.08057117024466923,2.24501708442337,3.323765308752702,-0.05185022949604067,3.747806677693382,1.6807557853873343,-0.08958678132962865,0.7776195241561028,1.0,0
top10 + ac0.45 + adx20,0.19536344724113097,0.08117150950398956,2.239727207154669,3.337979141336542,-0.05239304061574888,3.728805294465129,1.7036562952092944,-0.09009462988710235,0.7899297009072587,1.0,0
top10 + ac0.45 + adx25,0.18979288021124519,0.08100890408686987,2.186362298332407,3.2202113618671255,-0.052393040615748974,3.622482642364429,1.624223368153894,-0.09231198539150096,0.7686325507790726,1.0,0
top10 + ac0.45 + gf1.00,0.19823407957053418,0.08227181604251856,2.240041956580596,3.3116035483516457,-0.05324119496757194,3.7233213809583776,1.6816822876275597,-0.09124027035578271,0.7981746117900462,1.0,0
